id,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,class
799,0,1,1,3,2,4,legal
800,0,2,3,6,5,1,legal
801,6,6,0,1,7,3,legal
802,6,3,5,1,3,3,legal
803,5,0,2,5,1,4,legal
804,5,2,2,5,1,4,legal
805,1,2,2,4,5,0,legal
806,1,5,1,7,1,1,legal
807,2,0,7,7,2,4,legal
808,3,7,1,6,2,1,legal
809,4,0,3,6,7,1,legal
810,0,5,2,1,4,5,legal
811,1,0,4,6,6,3,legal
812,0,0,4,2,0,7,legal
813,7,7,6,5,1,0,legal
814,6,2,1,1,2,0,legal
815,6,7,2,4,7,3,legal
816,0,0,3,4,4,7,legal
817,6,1,2,1,3,6,legal
818,1,2,7,3,4,5,legal
819,4,7,1,6,0,7,legal
820,3,2,7,2,0,5,legal
821,0,0,1,7,7,1,legal
822,3,7,2,7,4,5,legal
823,6,4,2,5,5,1,legal
824,6,3,2,7,3,2,legal
825,4,7,6,0,3,3,legal
826,1,1,7,4,3,3,legal
827,7,7,7,4,3,1,legal
828,7,7,0,2,6,4,legal
829,1,2,0,0,4,4,legal
830,1,1,3,1,2,3,legal
831,5,5,0,5,6,1,legal
832,3,7,4,4,6,2,legal
833,7,1,0,2,7,6,legal
834,5,5,7,4,5,2,legal
835,2,3,5,6,0,5,legal
836,5,7,5,5,7,4,legal
837,3,5,7,6,1,7,legal
838,0,4,3,7,2,2,legal
839,5,7,6,2,5,3,legal
840,6,3,5,4,6,6,legal
841,3,3,3,2,0,6,legal
842,2,1,0,5,1,3,legal
843,4,6,5,1,0,2,legal
844,0,6,0,3,2,5,legal
845,1,6,5,6,6,7,legal
846,0,1,3,6,4,5,legal
847,3,2,4,4,2,6,legal
848,4,7,5,7,7,4,legal
849,5,1,2,1,5,7,legal
850,4,0,7,7,3,4,legal
851,1,5,7,0,3,6,legal
852,4,0,6,1,4,6,legal
853,3,4,4,0,6,1,legal
854,4,2,7,3,6,7,legal
855,7,0,2,3,5,6,legal
856,2,5,2,1,0,0,legal
857,3,2,6,2,0,4,legal
858,5,4,1,0,4,1,legal
859,3,7,6,6,4,1,legal
860,2,4,1,0,0,7,legal
861,2,4,1,3,6,5,legal
862,5,7,7,1,4,3,legal
863,2,2,1,3,2,0,legal
864,2,1,1,3,7,5,legal
865,1,3,4,2,1,0,legal
866,6,3,0,5,6,0,legal
867,7,3,3,1,1,2,legal
868,1,7,0,5,6,4,legal
869,6,6,4,1,1,6,legal
870,2,2,6,2,1,7,legal
871,1,4,0,3,7,0,legal
872,1,1,0,6,2,5,legal
873,7,7,0,7,4,0,legal
874,5,3,7,6,2,2,legal
875,3,0,2,3,6,1,legal
876,5,3,3,5,6,0,legal
877,5,4,7,6,5,0,legal
878,7,2,5,3,3,5,legal
879,5,4,3,4,7,7,legal
880,5,6,1,0,2,1,legal
881,0,6,3,3,1,0,legal
882,0,6,2,5,7,0,legal
883,4,7,5,7,1,1,legal
884,1,1,6,2,3,0,legal
885,2,1,6,6,1,7,legal
886,6,0,2,3,4,1,legal
887,3,3,0,5,3,1,legal
888,6,7,6,6,1,1,legal
889,2,6,7,7,3,2,legal
890,5,2,6,3,4,6,legal
891,5,3,7,4,1,1,legal
892,2,0,0,3,3,7,legal
893,3,5,1,2,5,0,legal
894,3,2,4,0,0,4,legal
895,6,3,3,4,6,1,legal
896,4,1,3,5,7,3,legal
897,0,4,1,4,5,6,legal
898,7,2,7,5,4,7,legal
899,3,3,7,3,0,2,legal
900,2,3,1,3,3,5,legal
901,1,2,0,1,3,6,legal
902,3,2,4,2,7,1,legal
903,7,0,3,0,6,7,legal
904,2,6,2,1,3,2,legal
905,4,6,4,5,5,2,legal
906,2,4,4,5,5,4,legal
907,7,7,6,2,5,0,legal
908,6,2,3,5,4,0,legal
909,6,3,0,4,3,1,legal
910,3,3,0,0,2,1,legal
911,1,7,6,2,1,3,legal
912,2,7,3,7,6,6,legal
913,4,7,1,3,6,2,legal
914,6,4,0,4,1,5,legal
915,7,5,6,7,5,0,legal
916,5,7,4,0,5,5,legal
917,5,0,4,5,7,6,legal
918,7,5,2,1,1,2,legal
919,4,0,4,6,1,7,legal
920,1,0,4,1,1,5,legal
921,0,6,1,7,3,3,legal
922,2,7,5,7,3,4,legal
923,7,6,3,0,0,5,legal
924,3,0,5,5,7,7,legal
925,5,5,3,0,7,1,legal
926,5,3,5,2,0,6,legal
927,0,6,0,7,2,2,legal
928,7,1,6,4,5,6,legal
929,5,3,3,0,6,6,legal
930,5,3,6,6,2,0,legal
931,6,6,1,5,2,4,legal
932,4,5,0,2,6,7,legal
933,7,6,5,5,7,4,legal
934,6,7,2,4,1,7,legal
935,1,3,3,2,5,4,legal
936,0,3,6,3,2,2,legal
937,4,0,3,4,1,3,legal
938,6,1,7,4,0,1,legal
939,3,6,3,7,1,3,legal
940,3,7,4,6,2,4,legal
941,0,4,5,0,6,3,legal
942,3,7,0,6,3,2,legal
943,2,1,2,6,6,3,legal
944,4,5,3,7,0,5,legal
945,3,5,5,0,4,1,legal
946,7,4,5,2,0,7,legal
947,7,1,2,4,6,3,legal
948,2,7,3,1,6,2,legal
949,1,1,7,6,1,3,legal
950,7,7,1,6,3,3,legal
951,1,7,1,4,0,0,legal
952,5,7,6,7,3,5,legal
953,0,0,6,0,7,5,legal
954,3,5,0,4,6,1,legal
955,4,5,7,5,3,0,legal
956,2,6,2,0,1,2,legal
957,5,7,3,0,5,5,legal
958,5,4,2,3,4,2,legal
959,5,7,5,5,4,0,legal
960,6,0,6,5,4,1,legal
961,0,0,5,2,6,7,legal
962,4,4,2,6,6,5,legal
963,2,5,1,7,5,0,legal
964,1,7,0,3,7,2,legal
965,1,3,6,7,4,2,legal
966,1,4,0,3,7,0,legal
967,4,1,3,5,7,6,legal
968,7,1,2,7,0,3,legal
969,5,5,1,0,4,3,legal
970,2,0,1,0,7,6,legal
971,1,0,4,1,7,0,legal
972,3,0,7,5,3,2,legal
973,3,2,7,4,0,6,legal
974,4,4,7,0,3,6,legal
975,3,5,3,7,5,3,legal
976,2,1,7,1,6,7,legal
977,0,1,2,7,6,0,legal
978,5,1,1,4,5,5,legal
979,7,4,4,2,1,7,legal
980,5,1,1,5,7,0,legal
981,5,3,1,7,3,0,legal
982,5,7,0,6,2,7,legal
983,5,0,0,7,6,2,legal
984,7,4,1,1,7,7,legal
985,1,6,7,2,1,4,legal
986,1,3,0,2,6,1,legal
987,4,7,0,2,1,4,legal
988,4,6,6,5,0,6,legal
989,1,7,2,0,6,3,legal
990,1,3,3,2,1,0,legal
991,6,1,3,6,5,4,legal
992,4,0,2,3,3,4,legal
993,0,1,4,2,5,7,legal
994,6,0,1,0,7,2,legal
995,7,6,7,1,1,7,legal
996,0,1,6,5,1,4,legal
997,7,2,5,1,4,5,legal
998,4,2,1,2,2,6,legal
999,0,6,0,0,7,2,legal
1000,4,0,2,2,7,1,legal
